ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,1,1,2025-11-30,1,12,44,9,23,1,1,0
2,2,1,2026-11-20,1,10,37,91,19,2,1,0
3,2,1,2027-01-04,1,10,37,91,19,3,1,0
4,4,1,2024-11-15,1,1,2,96,1,5,1,0
5,7,2,2026-08-15,1,1,3,166,1,9,1,0
6,8,1,2025-09-24,1,8,28,36,15,11,1,0
7,9,1,2026-04-30,1,9,34,50,17,13,1,0
8,9,1,2026-05-02,1,9,34,50,17,14,1,0
9,10,1,2025-03-02,1,10,37,86,20,17,1,0
10,11,1,2025-11-28,1,7,26,95,13,19,1,0
11,12,1,2023-05-25,1,10,37,227,19,23,1,0
12,12,1,2023-05-11,1,10,37,227,19,25,1,0
13,13,2,2025-08-15,1,10,37,86,19,27,1,0
14,14,1,2026-09-13,1,13,49,203,25,29,1,0
15,16,1,2026-09-10,1,4,15,26,8,31,1,0
16,16,2,2026-09-08,1,4,15,26,8,32,1,0
17,16,1,2026-10-28,1,4,15,26,8,33,1,0
18,19,1,2024-12-07,1,3,10,152,5,37,1,0
19,19,2,2024-12-16,1,3,10,152,5,38,1,0
20,20,1,2026-03-25,1,15,60,27,29,40,1,0
21,20,1,2026-03-17,1,15,60,27,29,41,1,0
22,20,1,2026-04-01,1,15,60,27,29,42,1,0
23,21,1,2025-03-01,1,7,26,206,14,43,1,0
24,22,1,2024-09-17,1,8,29,69,15,44,1,0
25,22,2,2024-09-14,1,8,29,69,15,46,1,0
26,22,2,2024-08-27,1,8,29,69,15,47,1,0
27,25,1,2026-01-20,1,15,59,94,30,51,1,0
28,26,1,2026-06-23,1,11,39,25,22,53,1,0
29,27,1,2023-05-08,1,9,34,207,18,54,1,0
30,27,1,2023-05-13,1,9,34,207,18,56,1,0
31,28,2,2023-04-28,1,8,29,156,15,59,1,0
32,28,1,2023-03-03,1,8,29,156,15,60,1,0
33,28,1,2023-04-01,1,8,29,156,15,61,1,0
34,29,1,2025-04-28,1,11,42,117,22,62,1,0
35,31,1,2024-01-18,1,15,57,248,29,64,1,0
36,31,2,2024-01-23,1,15,57,248,29,66,1,0
37,32,2,2024-07-24,1,4,13,83,7,68,1,0
38,34,1,2026-05-09,1,12,47,239,23,74,1,0
39,35,1,2025-07-17,1,7,25,191,13,75,1,0
40,36,1,2024-01-15,3,18,36,228,20,76,1,0
41,37,2,2026-11-03,2,17,45,214,24,77,1,0
42,40,1,2024-07-13,1,13,51,190,26,84,1,0
43,41,1,2026-12-03,1,13,49,181,26,85,1,1
44,42,1,2025-02-23,2,17,2,137,1,86,1,0
45,43,2,2025-05-22,1,4,15,44,8,87,1,0
46,46,1,2025-10-23,1,4,16,80,7,90,1,0
47,48,1,2024-04-14,1,13,51,168,26,92,1,0
48,50,1,2026-10-06,4,21,37,97,20,94,1,0
49,51,1,2025-06-20,1,3,11,218,5,96,1,0
50,52,1,2026-07-26,1,10,36,189,19,97,1,0
51,58,1,2024-12-19,1,6,23,57,11,105,1,0
52,59,1,2025-10-24,1,9,32,19,18,107,1,0
53,60,1,2023-08-29,1,4,15,226,7,109,1,0
54,61,1,2025-10-11,1,7,25,1,14,110,1,0
55,61,1,2025-11-22,1,7,25,1,14,112,1,0
56,62,1,2024-10-06,1,5,18,167,9,113,1,0
57,63,1,2024-07-11,1,5,18,167,10,114,1,0
58,64,1,2026-06-02,1,7,26,144,14,115,1,0
59,69,1,2026-09-23,1,11,41,88,22,125,1,0
60,70,1,2027-01-04,1,14,54,164,28,126,1,0
61,71,1,2024-02-26,1,5,19,71,9,127,1,0
62,72,2,2024-08-03,1,7,25,1,14,129,1,0
63,74,2,2023-05-31,1,7,25,33,13,132,1,0
64,76,1,2025-06-06,1,3,10,211,6,134,1,0
65,78,1,2025-07-17,4,21,37,227,20,136,1,0
66,80,1,2025-03-14,1,11,39,25,21,138,1,0
67,81,1,2023-09-16,3,18,45,214,23,139,1,0
68,82,1,2026-04-02,1,12,44,85,23,140,1,0
69,83,1,2023-06-14,1,1,3,2,1,141,1,0
70,87,1,2026-10-03,1,4,16,80,8,148,1,0
71,88,1,2023-07-19,1,3,11,43,5,151,1,0
72,89,1,2025-02-20,1,3,10,211,6,152,1,0
73,89,1,2025-02-15,1,3,10,211,6,153,1,0
74,91,1,2023-11-23,1,9,32,128,17,155,1,0
75,91,1,2023-12-01,1,9,32,128,17,156,1,0
76,91,2,2023-11-03,1,9,32,128,17,157,1,0
77,93,1,2024-08-13,1,8,28,77,16,162,1,0
78,94,2,2025-01-16,1,3,10,13,5,163,1,0
79,94,1,2024-12-20,1,3,10,13,5,164,1,0
80,97,2,2023-05-18,1,6,23,246,11,169,1,0
81,98,1,2023-05-27,1,8,28,250,16,172,1,0
82,100,2,2024-03-29,1,5,19,175,9,175,1,0
83,100,2,2024-03-22,1,5,19,175,9,176,1,0
84,103,2,2023-02-23,1,4,14,163,7,182,1,0
85,104,1,2024-03-30,1,10,36,40,19,184,1,0
86,104,1,2024-03-28,1,10,36,40,19,185,1,0
87,105,1,2023-06-12,1,10,37,103,20,187,1,0
88,106,1,2024-04-01,1,10,37,183,20,188,1,0
89,109,1,2026-11-25,1,9,34,50,17,193,1,0
90,110,1,2026-03-14,1,3,10,13,5,195,1,0
91,111,1,2026-05-30,1,5,20,113,10,197,1,0
92,112,1,2025-10-21,1,2,8,200,3,198,1,0
93,113,1,2024-03-03,1,15,59,94,29,199,1,0
94,116,1,2026-02-01,1,6,22,24,11,202,1,1
95,117,1,2025-07-04,1,6,22,233,11,203,1,0
96,118,1,2026-04-03,1,14,54,210,28,204,1,0
97,119,1,2026-12-17,1,8,29,130,15,206,1,0
98,119,1,2026-12-21,1,8,29,130,15,208,1,0
99,121,1,2026-05-10,1,5,19,151,10,210,1,0
100,122,1,2024-07-25,1,5,18,247,10,211,1,0
101,122,1,2024-08-16,1,5,18,247,10,212,1,0
102,123,1,2025-11-15,1,6,22,230,12,213,1,0
103,125,1,2025-07-05,1,6,22,24,12,217,1,0
104,126,2,2026-06-24,1,11,42,243,21,219,1,0
105,126,1,2026-08-13,1,11,42,243,21,220,1,0
106,127,1,2025-07-12,1,15,59,111,30,222,1,0
107,127,1,2025-06-14,1,15,59,111,30,223,1,0
108,127,1,2025-06-04,1,15,59,111,30,224,1,0
109,128,1,2024-07-07,1,8,29,130,15,225,1,0
110,130,1,2023-02-04,1,8,29,174,15,229,1,0
111,131,1,2023-05-11,3,18,11,218,5,230,1,0
112,131,1,2023-06-23,1,3,11,218,5,231,1,0
113,131,1,2023-06-12,1,3,11,218,5,232,1,0
114,133,1,2026-01-15,4,21,44,85,24,235,1,0
115,135,1,2026-04-02,1,7,26,144,14,238,1,0
116,136,1,2026-10-29,1,7,26,206,14,239,1,0
117,137,1,2025-12-19,1,5,20,249,9,240,1,0
118,139,2,2025-01-20,1,8,29,98,16,243,1,0
119,140,1,2026-07-31,1,2,8,89,3,244,1,0
120,141,2,2023-04-09,1,6,23,161,12,248,1,0
121,144,1,2026-07-09,1,9,32,19,17,251,1,0
122,146,1,2024-02-11,1,12,46,196,23,253,1,0
123,148,2,2025-03-19,1,5,18,202,9,255,1,0
124,150,1,2024-11-04,1,12,46,18,24,258,1,0
125,151,2,2025-11-02,1,5,20,249,10,260,1,0
126,151,1,2025-10-17,1,5,20,249,10,261,1,0
