DistrictName,CrimeGroupName,Month,CaseCount,BaselineMean,ZScore,AlertLevel
Belgaum,Crimes Against Body,2024-09,6,1.3,9.9,High
Belgaum,Crimes Against Property,2023-09,6,1.5,9.0,High
Bangalore Urban,Crimes Against Property,2024-01,5,1.3,7.78,High
Bijapur,Crimes Against Body,2024-10,6,2.3,7.78,High
Dakshina Kannada,Crimes Against Property,2023-04,7,3.3,7.78,High
Chitradurga,Cybercrime,2025-06,4,1.2,7.6,High
Belgaum,Crimes Against Body,2026-12,5,1.7,7.07,High
Raichur,Crimes Against Body,2026-03,5,1.5,7.0,High
Mysore,Cybercrime,2023-07,4,1.2,7.0,High
Shimoga,Crimes Against Body,2023-07,5,1.6,6.94,High
Chitradurga,Crimes Against Property,2025-02,4,1.3,5.66,High
Gulbarga,Economic Offences,2023-09,4,1.3,5.66,High
Hassan,Crimes Against Women,2025-04,4,1.3,5.66,High
Dharwad,Economic Offences,2026-05,4,1.3,5.66,High
Hassan,Economic Offences,2023-09,4,1.3,5.66,High
Bellary,Crimes Against Property,2024-09,5,2.3,5.66,High
Raichur,Crimes Against Women,2026-11,4,1.3,5.66,High
Shimoga,Crimes Against Body,2025-05,4,1.3,5.66,High
Tumkur,Cybercrime,2024-03,4,1.3,5.66,High
Udupi,Economic Offences,2026-08,4,1.3,5.66,High
Kodagu,Crimes Against Body,2025-04,4,1.3,5.66,High
Dakshina Kannada,Crimes Against Body,2026-03,5,2.0,5.2,High
Bangalore Urban,Crimes Against Body,2024-09,5,2.0,5.2,High
Dakshina Kannada,Cybercrime,2025-08,4,1.5,5.0,High
Chitradurga,Economic Offences,2026-05,4,1.5,5.0,High
Mysore,Crimes Against Body,2026-01,4,1.5,5.0,High
Raichur,Crimes Against Property,2023-11,4,1.5,5.0,High
Bellary,Crimes Against Body,2023-11,4,1.7,4.95,High
Raichur,Crimes Against Property,2023-04,5,2.7,4.95,High
Chitradurga,Crimes Against Women,2023-06,4,1.7,4.95,High
Kodagu,Crimes Against Property,2024-10,5,1.3,4.92,High
Raichur,Crimes Against Women,2024-03,3,1.2,4.92,High
Kodagu,Crimes Against Women,2026-03,3,1.2,4.92,High
Tumkur,Economic Offences,2026-09,3,1.2,4.92,High
Gulbarga,Cybercrime,2024-08,3,1.2,4.92,High
Hassan,Crimes Against Women,2026-01,3,1.2,4.92,High
Bijapur,Cybercrime,2026-12,3,1.2,4.92,High
Bellary,Cybercrime,2025-09,3,1.2,4.92,High
Belgaum,Crimes Against Women,2026-11,3,1.2,4.92,High
Belgaum,Cybercrime,2026-08,3,1.2,4.92,High
Mysore,Economic Offences,2026-05,3,1.2,4.92,High
Bangalore Urban,Economic Offences,2026-03,3,1.2,4.92,High
Tumkur,Crimes Against Women,2024-02,3,1.2,4.92,High
Dakshina Kannada,Crimes Against Body,2025-09,3,1.2,4.92,High
Chitradurga,Economic Offences,2023-11,3,1.2,4.92,High
Hassan,Crimes Against Women,2024-03,3,1.2,4.92,High
Udupi,Crimes Against Women,2023-11,3,1.2,4.92,High
Dharwad,Cybercrime,2025-08,3,1.2,4.92,High
Mysore,Crimes Against Women,2024-04,3,1.2,4.92,High
Bangalore Urban,Crimes Against Women,2023-07,4,1.6,4.9,High
Bellary,Crimes Against Property,2024-01,9,2.5,4.7,High
Bijapur,Crimes Against Property,2026-03,6,1.8,4.64,High
Udupi,Crimes Against Body,2026-06,5,1.8,4.61,High
Dakshina Kannada,Crimes Against Property,2024-04,5,1.8,4.61,High
Tumkur,Crimes Against Body,2024-12,5,1.5,4.58,High
Kodagu,Crimes Against Property,2026-12,7,2.2,4.53,High
Kodagu,Crimes Against Women,2023-06,3,1.2,4.5,High
Bijapur,Crimes Against Women,2024-04,5,1.7,4.47,High
Gulbarga,Crimes Against Property,2023-09,6,2.0,4.0,High
Tumkur,Crimes Against Property,2026-05,5,2.0,3.67,High
Bangalore Urban,Crimes Against Women,2026-09,5,2.0,3.67,High
Gulbarga,Crimes Against Body,2023-11,5,2.0,3.67,High
Mysore,Crimes Against Body,2024-01,4,1.3,3.58,High
Tumkur,Cybercrime,2025-09,3,1.3,3.54,High
Udupi,Crimes Against Body,2025-01,3,1.3,3.54,High
Bangalore Urban,Crimes Against Body,2026-03,3,1.3,3.54,High
Bijapur,Crimes Against Women,2024-03,3,1.3,3.54,High
Bangalore Urban,Crimes Against Women,2025-11,3,1.3,3.54,High
Udupi,Cybercrime,2025-03,3,1.3,3.54,High
Bellary,Economic Offences,2025-12,3,1.3,3.54,High
Bangalore Urban,Economic Offences,2025-08,3,1.3,3.54,High
Kodagu,Crimes Against Property,2024-06,3,1.3,3.54,High
Bijapur,Crimes Against Body,2024-03,3,1.3,3.54,High
Belgaum,Crimes Against Women,2025-11,3,1.3,3.54,High
Bellary,Crimes Against Property,2023-04,3,1.3,3.54,High
Raichur,Cybercrime,2024-02,3,1.3,3.54,High
Bellary,Cybercrime,2026-09,3,1.3,3.54,High
Mysore,Cybercrime,2026-07,3,1.3,3.54,High
Dharwad,Crimes Against Women,2025-10,3,1.3,3.54,High
Tumkur,Crimes Against Body,2024-11,3,1.3,3.54,High
Shimoga,Crimes Against Women,2025-09,3,1.3,3.54,High
Shimoga,Crimes Against Property,2023-04,5,1.7,3.54,High
Hassan,Crimes Against Property,2023-04,4,2.3,3.54,High
Chitradurga,Economic Offences,2025-02,3,1.3,3.54,High
Hassan,Cybercrime,2025-06,3,1.3,3.54,High
Gulbarga,Crimes Against Women,2025-10,3,1.3,3.54,High
Bellary,Crimes Against Property,2023-10,5,1.8,3.53,High
Kodagu,Crimes Against Property,2025-06,5,1.8,3.53,High
Shimoga,Crimes Against Women,2026-10,4,2.0,3.46,High
Mysore,Crimes Against Property,2025-04,4,2.0,3.46,High
Bijapur,Crimes Against Property,2023-08,4,2.0,3.46,High
Udupi,Crimes Against Property,2026-12,4,2.0,3.46,High
Bijapur,Economic Offences,2024-07,4,2.0,3.46,High
Shimoga,Crimes Against Property,2025-12,6,2.3,3.32,High
Gulbarga,Crimes Against Women,2026-11,4,1.5,3.27,High
Hassan,Crimes Against Body,2024-11,4,1.5,3.27,High
Bangalore Urban,Crimes Against Women,2024-06,4,1.5,3.27,High
Tumkur,Cybercrime,2026-05,4,1.5,3.27,High
Dharwad,Cybercrime,2026-01,4,1.5,3.27,High
Bellary,Cybercrime,2025-11,4,1.5,3.27,High
Chitradurga,Crimes Against Body,2023-07,3,1.4,3.27,High
Bangalore Urban,Crimes Against Body,2023-10,4,1.8,3.15,High
Chitradurga,Crimes Against Body,2025-08,4,1.8,3.15,High
Belgaum,Crimes Against Body,2025-05,4,1.8,3.15,High
Bellary,Crimes Against Body,2025-05,4,1.8,3.15,High
Belgaum,Crimes Against Women,2024-12,4,1.8,3.15,High
Gulbarga,Crimes Against Property,2024-10,4,1.8,3.15,High
Dakshina Kannada,Crimes Against Body,2023-10,4,1.8,3.15,High
Bijapur,Crimes Against Women,2025-08,3,1.8,3.13,High
Gulbarga,Crimes Against Property,2026-01,4,1.7,3.13,High
Dakshina Kannada,Cybercrime,2024-08,3,1.8,3.13,High
Dharwad,Crimes Against Body,2025-05,4,1.7,3.13,High
Kodagu,Economic Offences,2024-03,4,1.7,3.13,High
Bellary,Crimes Against Property,2024-10,6,2.7,3.02,High
Chitradurga,Crimes Against Property,2025-03,5,1.7,3.02,High
Dakshina Kannada,Crimes Against Property,2024-03,3,1.5,3.0,High
Belgaum,Crimes Against Women,2024-05,3,1.5,3.0,High
Tumkur,Crimes Against Property,2024-06,4,2.5,3.0,High
Bangalore Urban,Economic Offences,2023-07,3,1.5,3.0,High
Tumkur,Crimes Against Body,2026-05,3,1.5,3.0,High
Bangalore Urban,Cybercrime,2025-12,3,1.5,3.0,High
Bellary,Crimes Against Property,2025-09,3,1.5,3.0,High
Bangalore Urban,Crimes Against Property,2026-02,3,1.5,3.0,High
Hassan,Economic Offences,2026-06,3,1.5,3.0,High
Kodagu,Cybercrime,2023-07,3,1.5,3.0,High
Kodagu,Crimes Against Body,2026-05,3,1.5,3.0,High
Hassan,Crimes Against Property,2023-09,5,2.0,3.0,High
Hassan,Cybercrime,2024-08,3,1.5,3.0,High
Bijapur,Economic Offences,2026-04,3,1.5,3.0,High
Bijapur,Crimes Against Property,2023-06,3,1.8,3.0,High
Dakshina Kannada,Cybercrime,2026-10,3,1.5,3.0,High
Gulbarga,Crimes Against Body,2026-04,3,1.5,3.0,High
Hassan,Crimes Against Body,2023-11,3,1.5,3.0,High
Gulbarga,Cybercrime,2025-07,3,1.5,3.0,High
Bijapur,Crimes Against Property,2026-12,5,1.8,2.97,High
Raichur,Crimes Against Property,2024-02,5,1.8,2.97,High
Dharwad,Crimes Against Property,2025-04,6,2.3,2.94,High
Bangalore Urban,Crimes Against Body,2023-06,3,1.8,2.89,High
Dakshina Kannada,Crimes Against Body,2023-08,3,1.6,2.86,High
Bijapur,Cybercrime,2024-10,3,1.7,2.83,High
Bangalore Urban,Crimes Against Property,2024-09,3,1.7,2.83,High
Shimoga,Economic Offences,2025-04,3,1.7,2.83,High
Shimoga,Crimes Against Women,2026-05,3,1.7,2.83,High
Udupi,Crimes Against Property,2024-08,3,1.7,2.83,High
Shimoga,Economic Offences,2026-06,3,1.7,2.83,High
Mysore,Crimes Against Property,2023-04,5,2.3,2.83,High
Mysore,Crimes Against Women,2025-12,3,1.7,2.83,High
Tumkur,Economic Offences,2023-07,4,1.8,2.71,High
Hassan,Crimes Against Body,2026-01,4,2.2,2.67,High
Bijapur,Crimes Against Women,2025-12,4,2.2,2.67,High
Raichur,Crimes Against Property,2026-05,6,2.7,2.67,High
Raichur,Crimes Against Property,2026-04,5,2.5,2.61,High
Hassan,Crimes Against Body,2026-02,5,2.5,2.61,High
Gulbarga,Crimes Against Women,2024-07,4,1.7,2.47,Moderate
