DistrictName,GridLat,GridLon,TimeBucket,CaseCount,AvgGravity,DensityScore,IsHotspot
Dakshina Kannada,13.100000000000001,75.55,Afternoon,2,2.5,2.0,True
Belgaum,18.35,75.0,Afternoon,2,1.5,2.0,True
Gulbarga,12.100000000000001,77.15,Evening,2,2.0,2.0,True
Belgaum,17.05,76.95,Night,2,1.5,2.0,True
Kodagu,15.3,74.35000000000001,Night,2,2.0,2.0,True
Hassan,16.95,76.2,Evening,2,2.0,2.0,True
Udupi,14.8,76.80000000000001,Morning,2,3.0,2.0,True
Mysore,13.3,76.0,Night,2,2.5,2.0,True
Bellary,16.95,77.2,Night,2,2.0,2.0,True
Dharwad,14.100000000000001,75.75,Night,2,3.0,2.0,True
Belgaum,14.0,74.8,Morning,2,2.0,2.0,True
Bangalore Urban,12.25,74.05,Morning,2,2.5,2.0,True
Dakshina Kannada,17.400000000000002,78.25,Morning,2,2.0,2.0,True
Gulbarga,13.3,74.9,Night,2,2.5,2.0,True
Gulbarga,16.2,75.45,Morning,2,2.0,2.0,True
Dharwad,18.35,75.75,Morning,2,2.5,2.0,True
Raichur,12.8,77.45,Afternoon,2,2.5,2.0,True
Bellary,16.35,78.30000000000001,Afternoon,2,2.0,2.0,True
Bijapur,16.75,74.8,Evening,2,2.0,2.0,True
Belgaum,12.65,77.75,Night,2,2.5,2.0,True
Mysore,13.950000000000001,76.65,Morning,2,2.0,2.0,True
Raichur,17.55,77.60000000000001,Evening,2,2.0,2.0,True
Kodagu,18.1,74.45,Night,1,2.0,1.0,False
Kodagu,18.1,75.05,Evening,1,2.0,1.0,False
Kodagu,18.05,76.05,Morning,1,2.0,1.0,False
Kodagu,18.3,77.2,Night,1,2.0,1.0,False
Kodagu,18.150000000000002,78.45,Afternoon,1,2.0,1.0,False
Kodagu,18.25,77.0,Morning,1,2.0,1.0,False
Kodagu,18.25,78.25,Night,1,2.0,1.0,False
Kodagu,18.05,76.4,Night,1,3.0,1.0,False
Kodagu,18.05,77.2,Evening,1,2.0,1.0,False
Kodagu,17.95,77.15,Afternoon,1,1.0,1.0,False
Kodagu,18.3,76.15,Evening,1,2.0,1.0,False
Mysore,11.850000000000001,77.30000000000001,Afternoon,1,2.0,1.0,False
Mysore,11.8,76.80000000000001,Afternoon,1,2.0,1.0,False
Mysore,11.8,75.65,Evening,1,2.0,1.0,False
Mysore,11.75,78.55000000000001,Morning,1,2.0,1.0,False
Mysore,11.75,78.45,Night,1,2.0,1.0,False
Mysore,11.75,76.60000000000001,Night,1,3.0,1.0,False
Mysore,11.700000000000001,77.0,Morning,1,2.0,1.0,False
Mysore,11.700000000000001,75.7,Morning,1,1.0,1.0,False
Kodagu,18.05,76.05,Afternoon,1,2.0,1.0,False
Mysore,11.65,78.15,Afternoon,1,1.0,1.0,False
Mysore,11.65,75.65,Morning,1,1.0,1.0,False
Kodagu,18.35,77.7,Afternoon,1,2.0,1.0,False
Kodagu,18.35,77.05000000000001,Afternoon,1,2.0,1.0,False
Kodagu,18.35,75.7,Afternoon,1,1.0,1.0,False
Kodagu,18.35,75.4,Evening,1,3.0,1.0,False
Kodagu,18.35,74.5,Morning,1,1.0,1.0,False
Kodagu,18.35,74.15,Morning,1,2.0,1.0,False
Mysore,11.700000000000001,74.45,Afternoon,1,3.0,1.0,False
Kodagu,17.55,75.35000000000001,Night,1,3.0,1.0,False
Kodagu,17.5,78.25,Afternoon,1,2.0,1.0,False
Kodagu,17.5,77.0,Night,1,2.0,1.0,False
Kodagu,17.5,76.85000000000001,Evening,1,2.0,1.0,False
Kodagu,17.5,76.2,Afternoon,1,2.0,1.0,False
Kodagu,17.5,75.5,Morning,1,2.0,1.0,False
Kodagu,17.5,75.4,Night,1,2.0,1.0,False
Kodagu,17.5,75.4,Evening,1,2.0,1.0,False
Kodagu,17.900000000000002,74.65,Morning,1,3.0,1.0,False
Kodagu,17.45,74.60000000000001,Night,1,3.0,1.0,False
Kodagu,17.400000000000002,76.05,Night,1,3.0,1.0,False
Kodagu,17.400000000000002,74.85000000000001,Evening,1,2.0,1.0,False
Kodagu,17.35,78.55000000000001,Night,1,3.0,1.0,False
Kodagu,17.35,78.10000000000001,Afternoon,1,1.0,1.0,False
Kodagu,17.35,74.85000000000001,Night,1,2.0,1.0,False
Kodagu,17.3,74.9,Morning,1,2.0,1.0,False
Kodagu,17.25,77.2,Night,1,3.0,1.0,False
Kodagu,17.25,76.2,Night,1,3.0,1.0,False
Kodagu,17.45,76.55,Morning,1,2.0,1.0,False
Kodagu,17.95,74.75,Evening,1,2.0,1.0,False
Kodagu,17.900000000000002,78.5,Evening,1,3.0,1.0,False
Kodagu,17.900000000000002,78.0,Night,1,3.0,1.0,False
Kodagu,17.900000000000002,77.4,Morning,1,2.0,1.0,False
