DistrictName,GridLat,GridLon,TimeBucket,CaseCount,AvgGravity,DensityScore,IsHotspot
Dharwad,15.3,75.2,Morning,6,2.1666666666666665,6.0,True
Dakshina Kannada,12.700000000000001,75.0,Night,5,2.6,5.0,True
Dharwad,15.3,75.25,Afternoon,5,2.4,5.0,True
Dakshina Kannada,12.75,74.95,Night,5,2.4,5.0,True
Dakshina Kannada,13.05,74.85000000000001,Night,5,2.0,5.0,True
Raichur,16.0,76.80000000000001,Morning,5,2.4,5.0,True
Kodagu,12.05,75.95,Morning,5,2.2,5.0,True
Mysore,12.05,76.4,Morning,5,2.0,5.0,True
Bellary,15.0,76.7,Morning,5,2.4,5.0,True
Hassan,12.850000000000001,76.2,Night,5,2.2,5.0,True
Dakshina Kannada,12.9,75.0,Morning,4,2.25,4.0,True
Dharwad,15.25,75.10000000000001,Evening,4,2.25,4.0,True
Dharwad,15.3,75.0,Morning,4,2.0,4.0,True
Dharwad,15.450000000000001,75.05,Evening,4,2.5,4.0,True
Dakshina Kannada,13.05,75.15,Afternoon,4,2.25,4.0,True
Dakshina Kannada,12.950000000000001,74.85000000000001,Afternoon,4,1.75,4.0,True
Dakshina Kannada,12.850000000000001,74.9,Morning,4,2.5,4.0,True
Dakshina Kannada,12.75,75.15,Evening,4,2.5,4.0,True
Dharwad,15.450000000000001,75.05,Night,4,1.5,4.0,True
Dharwad,15.600000000000001,75.15,Morning,4,2.5,4.0,True
Bellary,15.3,76.75,Night,4,2.5,4.0,True
Bellary,14.950000000000001,76.85000000000001,Evening,4,1.75,4.0,True
Dharwad,15.55,75.0,Afternoon,4,1.5,4.0,True
Hassan,13.0,76.2,Morning,4,2.25,4.0,True
Bellary,15.200000000000001,76.9,Evening,4,2.5,4.0,True
Bellary,15.200000000000001,77.05000000000001,Morning,4,2.0,4.0,True
Dharwad,15.5,75.0,Morning,4,2.5,4.0,True
Dharwad,15.5,75.2,Night,4,2.25,4.0,True
Bijapur,16.5,75.65,Night,4,1.75,4.0,True
Dharwad,15.350000000000001,75.25,Night,4,2.5,4.0,True
Dakshina Kannada,13.05,75.15,Night,4,2.5,4.0,True
Dakshina Kannada,13.0,74.85000000000001,Night,4,2.25,4.0,True
Dakshina Kannada,12.950000000000001,75.0,Night,4,2.25,4.0,True
Chitradurga,14.4,76.3,Morning,4,2.25,4.0,True
Mysore,11.950000000000001,76.60000000000001,Night,4,2.0,4.0,True
Mysore,12.05,76.80000000000001,Morning,4,2.75,4.0,True
Bellary,14.850000000000001,77.05000000000001,Night,4,2.5,4.0,True
Bellary,14.850000000000001,77.0,Afternoon,4,2.0,4.0,True
Mysore,11.950000000000001,76.3,Afternoon,4,2.25,4.0,True
Kodagu,12.5,75.8,Morning,4,2.5,4.0,True
Bangalore Urban,12.9,77.65,Night,7,2.142857142857143,3.5,True
Dakshina Kannada,12.9,75.05,Night,3,1.6666666666666667,3.0,True
